Airport,City,State,Country,Code,Region,Total Movements
Amsterdam Airport Schiphol,Haarlemmermeer,North Holland,NL,AMS,Europe,465521
Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,US,ATL,North America,882497
Guangzhou Baiyun International Airport,Baiyun-Huadu,Guangzhou,CN,CAN,Asia,409674
Charles de Gaulle Airport,Paris,,FR,CDG,Europe,475776
Soekarno-Hatta International Airport,Cengkareng,Tangerang,ID,CGK,Asia,380129
Charlotte Douglas International Airport,Charlotte,North Carolina,US,CLT,North America,540944
Denver International Airport,Denver,Colorado,US,DEN,North America,541213
Dallas/Fort Worth International Airport,Dallas/Fort Worth,Texas,US,DFW,North America,681244
Dubai International Airport,Dubai,,AE,DXB,Asia,418220
Newark Liberty International Airport,Newark,New Jersey,US,EWR,North America,414525
Frankfurt Airport,Frankfurt,Hesse,DE,FRA,Europe,468153
Hong Kong International Airport,Chek Lap Kok,Islands,HK,HKG,Asia,416900
Tokyo International Airport,Ōta,Tokyo,JP,HND,Asia,438542
George Bush Intercontinental Airport,Houston,Texas,US,IAH,North America,502844
Atatürk International Airport,Istanbul,,TR,IST,Europe,464865
John F. Kennedy International Airport,Queens,New York City,US,JFK,North America,438448
McCarran International Airport,Las Vegas,Nevada,US,LAS,North America,522399
Los Angeles International Airport,Los Angeles,California,US,LAX,North America,655564
London Heathrow Airport,London,England,UK,LHR,Europe,474102
Benito Juárez International Airport,Venustiano Carranza,Mexico City,MX,MEX,North America,426761
Miami International Airport,Miami-Dade County,Florida,US,MIA,North America,412955
Minneapolis–Saint Paul International Airport,Hennepin County,Minnesota,US,MSP,North America,403151
O'Hare International Airport,Chicago,Illinois,US,ORD,North America,875136
Beijing Capital International Airport,Chaoyang-Shunyi,Beijing,CN,PEK,Asia,590169
Philadelphia International Airport,Philadelphia,Pennsylvania,US,PHL,North America,411368
Phoenix Sky Harbor International Airport,Phoenix,Arizona,US,PHX,North America,439035
Shanghai Pudong International Airport,Pudong,Shanghai,CN,PVG,Asia,448213
Seattle–Tacoma International Airport,SeaTac,Washington,US,SEA,North America,381408
San Francisco International Airport,San Mateo County,California,US,SFO,North America,429815
Toronto Pearson International Airport,Mississauga,Ontario,CA,YYZ,North America,443773
